lang,n_revisions_tot,n_revisions_sel,n_sources_revisions,n_pages,nrev_per_page,№,Language,Language (local),Articles,All pages,Edits,Admins,Users,Active users,Files,Depth,n_domain_pos,n_domain_neg,n_domain_all,n_users,rank_n_users,perc_n_users,sel,rank_active_users_sel,perc_active_users_sel,class
bar,5670,2972,964,235,4.102127659574468,118.0,Bavarian,Boarisch,27150.0,109962.0,840911.0,3.0,69837.0,62.0,1322.0,71.0,0.0,0.0,0.0,42.0,97.5,0.3037383177570093,False,,1.0,low
si,5656,2783,3907,363,10.763085399449036,127.0,Sinhala,සිංහල,20332.0,125341.0,644577.0,3.0,67112.0,76.0,3004.0,137.0,35.0,9.0,1138.0,86.0,73.0,0.22741433021806853,True,96.0,0.6530612244897959,low
sah,5170,4257,270,244,1.1065573770491803,134.0,Yakut,саха тыла,17226.0,51644.0,404497.0,3.0,25102.0,39.0,1765.0,31.0,0.0,0.0,0.0,21.0,130.5,0.40654205607476634,False,,1.0,low
sco,5168,3631,1665,467,3.565310492505353,109.0,Scots,Scots,34947.0,139334.0,883965.0,3.0,108149.0,78.0,533.0,56.0,28.0,9.0,476.0,61.0,83.0,0.2585669781931464,True,94.0,0.6394557823129252,low
wa,5010,3338,118,217,0.543778801843318,157.0,Walloon,walon,12155.0,28753.0,401584.0,4.0,24572.0,30.0,640.0,26.0,0.0,0.0,0.0,12.0,161.5,0.5031152647975078,False,,1.0,low
avk,4262,2716,1207,870,1.3873563218390805,116.0,Kotava,Kotava,29059.0,35409.0,142936.0,6.0,5197.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
yo,4237,2600,1875,252,7.440476190476191,110.0,Yoruba,Yorùbá,33823.0,57915.0,578866.0,3.0,28341.0,106.0,166.0,5.0,34.0,8.0,337.0,43.0,95.5,0.29750778816199375,True,81.5,0.5544217687074829,low
vls,4150,2931,150,188,0.7978723404255319,180.0,West Flemish,West-Vlams,7930.0,21897.0,315960.0,5.0,27012.0,28.0,476.0,44.0,0.0,0.0,0.0,14.0,150.0,0.4672897196261682,False,,1.0,low
or,4041,2054,1959,277,7.072202166064982,133.0,Odia,ଓଡ଼ିଆ,17711.0,78653.0,523097.0,6.0,35734.0,68.0,185.0,78.0,32.0,5.0,440.0,33.0,107.0,0.3333333333333333,True,101.0,0.6870748299319728,low
li,4013,2874,230,186,1.2365591397849462,144.0,Limburgish,Limburgs,14869.0,67207.0,463103.0,7.0,29100.0,39.0,623.0,85.0,0.0,0.0,0.0,23.0,124.5,0.3878504672897196,False,,1.0,low
